warehouse_id,sku_id,stock_available,on_hand_qty,in_transit_qty,reorder_point,safety_stock
WH_Mumbai,SKU0,58,25,425,281,281
WH_Mumbai,SKU0,25,3,872,281,281
WH_Mumbai,SKU0,3,0,1322,281,281
WH_Mumbai,SKU0,0,0,1772,281,281
WH_Mumbai,SKU0,0,0,2222,281,281
WH_Mumbai,SKU0,0,0,2672,281,281
WH_Mumbai,SKU0,0,0,3122,281,281
WH_Mumbai,SKU0,0,425,2697,281,281
WH_Mumbai,SKU0,425,851,2250,281,281
WH_Mumbai,SKU0,851,1267,1800,281,281
WH_Mumbai,SKU0,1267,1688,1350,281,281
WH_Mumbai,SKU0,1688,2110,900,281,281
WH_Mumbai,SKU0,2110,2525,450,281,281
WH_Mumbai,SKU0,2525,2950,0,281,281
WH_Mumbai,SKU0,2950,2927,0,281,281
WH_Mumbai,SKU0,2927,2909,0,281,281
WH_Mumbai,SKU0,2909,2872,0,281,281
WH_Mumbai,SKU0,2872,2838,0,281,281
WH_Mumbai,SKU0,2838,2816,0,281,281
WH_Mumbai,SKU0,2816,2784,0,281,281
WH_Mumbai,SKU0,2784,2757,0,281,281
WH_Mumbai,SKU0,2757,2732,0,281,281
WH_Mumbai,SKU0,2732,2699,0,281,281
WH_Mumbai,SKU0,2699,2675,0,281,281
WH_Mumbai,SKU0,2675,2612,0,281,281
WH_Mumbai,SKU0,2612,2594,0,281,281
WH_Mumbai,SKU0,2594,2560,0,281,281
WH_Mumbai,SKU0,2560,2540,0,281,281
WH_Mumbai,SKU0,2540,2522,0,281,281
WH_Mumbai,SKU0,2522,2501,0,281,281
WH_Mumbai,SKU0,2501,2469,0,281,281
WH_Mumbai,SKU0,2469,2452,0,281,281
WH_Mumbai,SKU0,2452,2425,0,281,281
WH_Mumbai,SKU0,2425,2389,0,281,281
WH_Mumbai,SKU0,2389,2353,0,281,281
WH_Mumbai,SKU0,2353,2336,0,281,281
WH_Mumbai,SKU0,2336,2303,0,281,281
WH_Mumbai,SKU0,2303,2279,0,281,281
WH_Mumbai,SKU0,2279,2248,0,281,281
WH_Mumbai,SKU0,2248,2227,0,281,281
WH_Mumbai,SKU0,2227,2150,0,281,281
WH_Mumbai,SKU0,2150,2120,0,281,281
WH_Mumbai,SKU0,2120,2094,0,281,281
WH_Mumbai,SKU0,2094,2062,0,281,281
WH_Mumbai,SKU0,2062,2039,0,281,281
WH_Mumbai,SKU0,2039,2017,0,281,281
WH_Mumbai,SKU0,2017,1982,0,281,281
WH_Mumbai,SKU0,1982,1943,0,281,281
WH_Mumbai,SKU0,1943,1914,0,281,281
WH_Mumbai,SKU0,1914,1894,0,281,281
WH_Mumbai,SKU0,1894,1860,0,281,281
WH_Mumbai,SKU0,1860,1838,0,281,281
WH_Mumbai,SKU0,1838,1814,0,281,281
WH_Mumbai,SKU0,1814,1770,0,281,281
WH_Mumbai,SKU0,1770,1744,0,281,281
WH_Mumbai,SKU0,1744,1709,0,281,281
WH_Mumbai,SKU0,1709,1688,0,281,281
WH_Mumbai,SKU0,1688,1665,0,281,281
WH_Mumbai,SKU0,1665,1637,0,281,281
WH_Mumbai,SKU0,1637,1606,0,281,281
WH_Mumbai,SKU0,1606,1571,0,281,281
WH_Mumbai,SKU0,1571,1533,0,281,281
WH_Mumbai,SKU0,1533,1515,0,281,281
WH_Mumbai,SKU0,1515,1486,0,281,281
WH_Mumbai,SKU0,1486,1467,0,281,281
WH_Mumbai,SKU0,1467,1438,0,281,281
WH_Mumbai,SKU0,1438,1409,0,281,281
WH_Mumbai,SKU0,1409,1371,0,281,281
WH_Mumbai,SKU0,1371,1328,0,281,281
WH_Mumbai,SKU0,1328,1301,0,281,281
WH_Mumbai,SKU0,1301,1275,0,281,281
WH_Mumbai,SKU0,1275,1241,0,281,281
WH_Mumbai,SKU0,1241,1215,0,281,281
WH_Mumbai,SKU0,1215,1195,0,281,281
WH_Mumbai,SKU0,1195,1147,0,281,281
WH_Mumbai,SKU0,1147,1129,0,281,281
WH_Mumbai,SKU0,1129,1098,0,281,281
WH_Mumbai,SKU0,1098,1070,0,281,281
WH_Mumbai,SKU0,1070,1038,0,281,281
WH_Mumbai,SKU0,1038,1019,0,281,281
WH_Mumbai,SKU0,1019,994,0,281,281
WH_Mumbai,SKU0,994,958,0,281,281
WH_Mumbai,SKU0,958,921,0,281,281
WH_Mumbai,SKU0,921,900,0,281,281
WH_Mumbai,SKU0,900,869,0,281,281
WH_Mumbai,SKU0,869,828,0,281,281
WH_Mumbai,SKU0,828,800,0,281,281
WH_Mumbai,SKU0,800,776,0,281,281
WH_Mumbai,SKU0,776,752,0,281,281
WH_Mumbai,SKU0,752,719,0,281,281
WH_Mumbai,SKU0,719,689,0,281,281
WH_Mumbai,SKU0,689,661,0,281,281
WH_Mumbai,SKU0,661,631,0,281,281
WH_Mumbai,SKU0,631,605,0,281,281
WH_Mumbai,SKU0,605,571,0,281,281
WH_Mumbai,SKU0,571,535,0,281,281
WH_Mumbai,SKU0,535,502,0,281,281
WH_Mumbai,SKU0,502,475,0,281,281
WH_Mumbai,SKU0,475,450,0,281,281
WH_Mumbai,SKU0,450,418,0,281,281
WH_Mumbai,SKU0,418,390,0,281,281
WH_Mumbai,SKU0,390,368,0,281,281
WH_Mumbai,SKU0,368,328,0,281,281
WH_Mumbai,SKU0,328,299,0,281,281
WH_Mumbai,SKU0,299,271,179,281,281
WH_Mumbai,SKU0,271,248,381,281,281
WH_Mumbai,SKU0,248,222,609,281,281
WH_Mumbai,SKU0,222,195,864,281,281
WH_Mumbai,SKU0,195,164,1150,281,281
WH_Mumbai,SKU0,164,72,1528,281,281
WH_Mumbai,SKU0,72,0,1978,281,281
WH_Mumbai,SKU0,0,179,2070,281,281
WH_Mumbai,SKU0,179,361,1868,281,281
WH_Mumbai,SKU0,361,560,1640,281,281
WH_Mumbai,SKU0,560,782,1385,281,281
WH_Mumbai,SKU0,782,998,1099,281,281
WH_Mumbai,SKU0,998,1343,721,281,281
WH_Mumbai,SKU0,1343,1764,271,281,281
WH_Mumbai,SKU0,1764,2005,0,281,281
WH_Mumbai,SKU0,2005,1982,0,281,281
WH_Mumbai,SKU0,1982,1971,0,281,281
WH_Mumbai,SKU0,1971,1952,0,281,281
WH_Mumbai,SKU0,1952,1929,0,281,281
WH_Mumbai,SKU0,1929,1892,0,281,281
WH_Mumbai,SKU0,1892,1856,0,281,281
WH_Mumbai,SKU0,1856,1837,0,281,281
WH_Mumbai,SKU0,1837,1803,0,281,281
WH_Mumbai,SKU0,1803,1769,0,281,281
WH_Mumbai,SKU0,1769,1744,0,281,281
WH_Mumbai,SKU0,1744,1726,0,281,281
WH_Mumbai,SKU0,1726,1695,0,281,281
