shipment_id,order_id,origin_lat,origin_lng,destination_lat,destination_lng,status,event_timestamp,estimated_delivery_date,actual_delivery_date,delay_hours,shipping_carrier,shipping_time_days,shipping_cost
SHP-ORD-SKU0-20250520-08312c,ORD-SKU0-20250520-08312c,19.049874509873064,72.88720369682397,19.09069676392063,72.81100989694318,delivered,2025-05-20,2025-05-22,2025-05-24,48.0,Delhivery,1.0,5.0
SHP-ORD-SKU0-20250521-856e77,ORD-SKU0-20250521-856e77,19.073083062502068,72.88900228193897,19.091739008238537,72.86967863441075,delivered,2025-05-21,2025-05-23,2025-05-23,0.0,FedEx,1.0,3.01
SHP-ORD-SKU0-20250522-938610,ORD-SKU0-20250522-938610,19.076964164790304,72.88189102105598,19.02931277532948,72.82949749092688,delivered,2025-05-22,2025-05-26,2025-05-26,0.0,BlueDart,3.0,4.48
SHP-ORD-SKU0-20250528-cc1a24,ORD-SKU0-20250528-cc1a24,19.06816746707664,72.87447938483795,19.10884332794512,72.81293616901625,delivered,2025-05-28,2025-06-02,2025-06-02,0.0,BlueDart,4.0,6.82
SHP-ORD-SKU0-20250529-eb6cda,ORD-SKU0-20250529-eb6cda,19.087026874654622,72.87944833011991,19.026184130036665,72.93191569973595,delivered,2025-05-29,2025-06-01,2025-06-01,0.0,BlueDart,2.0,5.57
SHP-ORD-SKU0-20250530-f3866e,ORD-SKU0-20250530-f3866e,19.08478673548191,72.87530405491806,19.14525583401624,72.90220205510266,delivered,2025-05-30,2025-06-01,2025-06-01,0.0,Delhivery,1.0,4.03
SHP-ORD-SKU0-20250531-a3053c,ORD-SKU0-20250531-a3053c,19.056557704062502,72.87552543023097,19.03279483664248,72.84505676143675,delivered,2025-05-31,2025-06-02,2025-06-05,72.0,Delhivery,1.0,3.91
SHP-ORD-SKU0-20250601-81161b,ORD-SKU0-20250601-81161b,19.07623931814466,72.88641913988813,19.148107134561336,72.88678445852517,delivered,2025-06-01,2025-06-05,2025-06-05,0.0,ShipRocket,3.0,5.16
SHP-ORD-SKU0-20250602-f60e38,ORD-SKU0-20250602-f60e38,19.065222552220707,72.88980398633137,19.05766075394609,72.87107790837685,delivered,2025-06-02,2025-06-06,2025-06-06,0.0,Delhivery,3.0,3.61
SHP-ORD-SKU0-20250603-e29c83,ORD-SKU0-20250603-e29c83,19.078710617487424,72.90014806606011,19.03933052196948,72.99632928666738,delivered,2025-06-03,2025-06-05,2025-06-06,24.0,Delhivery,1.0,3.83
SHP-ORD-SKU0-20250604-ee6832,ORD-SKU0-20250604-ee6832,19.07739204110957,72.8764158785346,19.054108802546843,72.87934132364994,delivered,2025-06-04,2025-06-06,2025-06-06,0.0,Delhivery,1.0,4.92
SHP-ORD-SKU0-20250605-05f8c3,ORD-SKU0-20250605-05f8c3,19.07880991867735,72.8714730048018,19.068403806159488,72.84682295806886,delivered,2025-06-05,2025-06-07,2025-06-07,0.0,BlueDart,1.0,4.96
SHP-ORD-SKU0-20250606-67a29a,ORD-SKU0-20250606-67a29a,19.08457864658789,72.87444026859019,19.247277902892264,72.79719032116034,delivered,2025-06-06,2025-06-14,2025-06-14,0.0,BlueDart,7.0,8.1
SHP-ORD-SKU0-20250607-b6e49a,ORD-SKU0-20250607-b6e49a,19.08488984294277,72.88266064233227,19.08766845078997,72.88567228840672,delivered,2025-06-07,2025-06-13,2025-06-13,0.0,Delhivery,5.0,4.67
SHP-ORD-SKU0-20250608-4d653a,ORD-SKU0-20250608-4d653a,19.06597470635362,72.88621944467565,19.104391679068872,72.91395408438683,delivered,2025-06-08,2025-06-15,2025-06-15,0.0,BlueDart,6.0,6.68
SHP-ORD-SKU0-20250609-0521fd,ORD-SKU0-20250609-0521fd,19.084435740227804,72.8670367852176,19.049345068101424,72.81868123248756,delivered,2025-06-09,2025-06-11,2025-06-13,48.0,ShipRocket,1.0,2.63
SHP-ORD-SKU0-20250610-e901fe,ORD-SKU0-20250610-e901fe,19.07962476458805,72.88511963016529,19.153457695859537,72.92013177783342,delivered,2025-06-10,2025-06-15,2025-06-15,0.0,BlueDart,4.0,6.92
SHP-ORD-SKU0-20250611-adf820,ORD-SKU0-20250611-adf820,19.071499345285208,72.88392849932347,19.01811832381608,72.8768095250724,delivered,2025-06-11,2025-06-13,2025-06-13,0.0,ShipRocket,1.0,4.58
SHP-ORD-SKU0-20250612-f2b945,ORD-SKU0-20250612-f2b945,19.101392577912108,72.89259045173885,19.145283836336112,72.87090793540027,delivered,2025-06-12,2025-06-16,2025-06-16,0.0,FedEx,3.0,6.4
SHP-ORD-SKU0-20250613-b2fd18,ORD-SKU0-20250613-b2fd18,19.07966598246097,72.86830120213673,19.053972636594136,72.81534052604229,delivered,2025-06-13,2025-06-21,2025-06-21,0.0,Delhivery,7.0,7.36
SHP-ORD-SKU0-20250614-07dba7,ORD-SKU0-20250614-07dba7,19.06781323014681,72.8828458899069,19.12804498377561,72.92541360313693,delivered,2025-06-14,2025-06-16,2025-06-16,0.0,BlueDart,1.0,4.1
SHP-ORD-SKU0-20250615-ebaee2,ORD-SKU0-20250615-ebaee2,19.09123787410194,72.85313252943136,19.05071258175298,72.807905435242,delivered,2025-06-15,2025-06-17,2025-06-17,0.0,ShipRocket,1.0,4.64
SHP-ORD-SKU0-20250616-48b52b,ORD-SKU0-20250616-48b52b,19.084397474378974,72.87797690931616,19.090765748305834,72.85990576734481,delivered,2025-06-16,2025-06-23,2025-06-23,0.0,FedEx,6.0,6.69
SHP-ORD-SKU0-20250617-c1699d,ORD-SKU0-20250617-c1699d,19.070354429967303,72.86767953276372,19.08434229745664,72.73063179054073,delivered,2025-06-17,2025-06-25,2025-06-25,0.0,FedEx,7.0,8.29
SHP-ORD-SKU0-20250618-039bf3,ORD-SKU0-20250618-039bf3,19.069955855218684,72.8822151594202,19.1021459853039,72.91641324129392,delivered,2025-06-18,2025-06-23,2025-06-23,0.0,BlueDart,4.0,6.05
SHP-ORD-SKU0-20250619-8d77b6,ORD-SKU0-20250619-8d77b6,19.08152533152348,72.88065550450979,19.11692154987196,72.9910780308031,delivered,2025-06-19,2025-06-23,2025-06-23,0.0,BlueDart,3.0,4.58
SHP-ORD-SKU0-20250620-6f2316,ORD-SKU0-20250620-6f2316,19.08320773049141,72.8927977131246,19.10330945449375,72.87542137643595,delivered,2025-06-20,2025-06-25,2025-06-26,24.0,FedEx,4.0,5.49
SHP-ORD-SKU0-20250621-c07dda,ORD-SKU0-20250621-c07dda,19.06422214458508,72.87089738412807,18.98024918048499,72.84064423032848,delivered,2025-06-21,2025-06-23,2025-06-23,0.0,Delhivery,1.0,4.2
SHP-ORD-SKU0-20250622-3737d0,ORD-SKU0-20250622-3737d0,19.074742130799,72.8782572491229,19.12945170672255,72.79363401763716,delivered,2025-06-22,2025-06-29,2025-06-29,0.0,Delhivery,6.0,7.21
SHP-ORD-SKU0-20250623-f8e518,ORD-SKU0-20250623-f8e518,19.08680459869005,72.85925094759705,19.035944990162783,72.88508441302946,delivered,2025-06-23,2025-06-27,2025-06-28,24.0,ShipRocket,3.0,4.24
SHP-ORD-SKU0-20250624-93d14b,ORD-SKU0-20250624-93d14b,19.09549732595601,72.87413467910056,19.107412139062088,72.84574872736178,delivered,2025-06-24,2025-06-29,2025-06-29,0.0,Delhivery,4.0,5.76
SHP-ORD-SKU0-20250625-e28ae2,ORD-SKU0-20250625-e28ae2,19.07743215452497,72.88748292982116,19.12053040877798,72.91865290176698,delivered,2025-06-25,2025-06-27,2025-06-27,0.0,FedEx,1.0,4.52
SHP-ORD-SKU0-20250626-c69b37,ORD-SKU0-20250626-c69b37,19.07415097863557,72.887751021623,19.04877911434017,72.87128447170701,delivered,2025-06-26,2025-06-28,2025-06-28,0.0,FedEx,1.0,2.58
SHP-ORD-SKU0-20250627-f1cfff,ORD-SKU0-20250627-f1cfff,19.065555052536,72.87547605280112,19.08042040147849,72.90661604437432,delivered,2025-06-27,2025-07-01,2025-07-01,0.0,FedEx,3.0,5.12
SHP-ORD-SKU0-20250628-1cb082,ORD-SKU0-20250628-1cb082,19.06267255529212,72.8761189850993,19.1030022176878,72.89529968279014,delivered,2025-06-28,2025-06-30,2025-06-30,0.0,Delhivery,1.0,3.29
SHP-ORD-SKU0-20250629-49f5c6,ORD-SKU0-20250629-49f5c6,19.087492733262856,72.87066823574875,19.085743308738007,72.95920826753053,delivered,2025-06-29,2025-07-07,2025-07-07,0.0,ShipRocket,7.0,6.29
SHP-ORD-SKU0-20250630-b089d4,ORD-SKU0-20250630-b089d4,19.09545871284828,72.88461620680951,19.1597661356036,72.9248563657462,delivered,2025-06-30,2025-07-02,2025-07-02,0.0,Delhivery,1.0,4.92
SHP-ORD-SKU0-20250701-2128e0,ORD-SKU0-20250701-2128e0,19.07165503772568,72.87460827876532,19.08276172630736,72.85067084768215,delivered,2025-07-01,2025-07-06,2025-07-06,0.0,ShipRocket,4.0,4.16
SHP-ORD-SKU0-20250702-ed847a,ORD-SKU0-20250702-ed847a,19.07428086628928,72.87745722720109,19.046519666332845,72.79718677764187,delivered,2025-07-02,2025-07-06,2025-07-06,0.0,Delhivery,3.0,6.47
SHP-ORD-SKU0-20250703-ed5913,ORD-SKU0-20250703-ed5913,19.074342769468533,72.86944415156982,19.18982890723884,72.8362493058925,delivered,2025-07-03,2025-07-05,2025-07-05,0.0,FedEx,1.0,5.46
SHP-ORD-SKU0-20250704-0df52c,ORD-SKU0-20250704-0df52c,19.07596987396816,72.87064789263671,19.04078887082184,72.98851671088835,delivered,2025-07-04,2025-07-09,2025-07-09,0.0,FedEx,4.0,5.58
SHP-ORD-SKU0-20250705-7d5b43,ORD-SKU0-20250705-7d5b43,19.076432716947444,72.88800473420436,19.084001190675963,72.93114458349389,delivered,2025-07-05,2025-07-08,2025-07-08,0.0,BlueDart,2.0,3.15
SHP-ORD-SKU0-20250706-38e8b3,ORD-SKU0-20250706-38e8b3,19.067664410127207,72.88188252554787,19.08768501158913,72.8705968431694,delivered,2025-07-06,2025-07-14,2025-07-15,24.0,Delhivery,7.0,8.12
SHP-ORD-SKU0-20250707-0a69db,ORD-SKU0-20250707-0a69db,19.07153566385449,72.87964089992899,19.125217251347483,72.82831513495843,delivered,2025-07-07,2025-07-09,2025-07-09,0.0,Delhivery,1.0,3.8
SHP-ORD-SKU0-20250708-a6f7d0,ORD-SKU0-20250708-a6f7d0,19.074222596785127,72.88891853189428,19.13974978801974,72.8777978929715,delivered,2025-07-08,2025-07-11,2025-07-11,0.0,BlueDart,2.0,5.05
SHP-ORD-SKU0-20250709-336067,ORD-SKU0-20250709-336067,19.06655631222457,72.8809324576291,19.129016400598942,72.90550268598008,delivered,2025-07-09,2025-07-16,2025-07-16,0.0,FedEx,6.0,5.27
SHP-ORD-SKU0-20250710-bcd613,ORD-SKU0-20250710-bcd613,19.065063710539366,72.8802799699212,19.08851954602842,72.84924975672423,delivered,2025-07-10,2025-07-15,2025-07-15,0.0,Delhivery,4.0,5.18
SHP-ORD-SKU0-20250711-715866,ORD-SKU0-20250711-715866,19.082321161012683,72.86791233352139,19.09991571440801,72.8745513684346,delivered,2025-07-11,2025-07-14,2025-07-14,0.0,BlueDart,2.0,3.1
SHP-ORD-SKU0-20250712-05f1b2,ORD-SKU0-20250712-05f1b2,19.078045493960907,72.87471696505449,19.186228318922144,72.7968378257614,delivered,2025-07-12,2025-07-17,2025-07-17,0.0,Delhivery,4.0,5.36
SHP-ORD-SKU0-20250713-3590e3,ORD-SKU0-20250713-3590e3,19.08532879084329,72.88643158548619,18.992112214427834,72.84135154818442,delivered,2025-07-13,2025-07-18,2025-07-18,0.0,ShipRocket,4.0,4.22
SHP-ORD-SKU0-20250714-7e5c1a,ORD-SKU0-20250714-7e5c1a,19.08988312701434,72.88093800127606,19.075308628064665,72.79841344077417,delivered,2025-07-14,2025-07-17,2025-07-17,0.0,FedEx,2.0,4.4
SHP-ORD-SKU0-20250715-de6836,ORD-SKU0-20250715-de6836,19.07449580145538,72.88765548585363,19.04493064070078,72.79004622478345,delivered,2025-07-15,2025-07-17,2025-07-17,0.0,ShipRocket,1.0,4.27
SHP-ORD-SKU0-20250716-e52c4b,ORD-SKU0-20250716-e52c4b,19.0797972618694,72.86532658354554,19.111259710464083,72.8748734710842,delivered,2025-07-16,2025-07-19,2025-07-19,0.0,FedEx,2.0,5.53
SHP-ORD-SKU0-20250717-5c3881,ORD-SKU0-20250717-5c3881,19.08199994207925,72.86959926915792,19.059078095069903,72.839907443708,delivered,2025-07-17,2025-07-20,2025-07-20,0.0,BlueDart,2.0,3.92
SHP-ORD-SKU0-20250718-8e4e2a,ORD-SKU0-20250718-8e4e2a,19.07347619956536,72.88072398844238,19.034208542439757,72.92579771993978,delivered,2025-07-18,2025-07-21,2025-07-21,0.0,FedEx,2.0,4.18
SHP-ORD-SKU0-20250719-ce30c2,ORD-SKU0-20250719-ce30c2,19.07296968359002,72.8773529667997,19.0135453474937,72.89295693774069,delivered,2025-07-19,2025-07-21,2025-07-21,0.0,FedEx,1.0,4.59
SHP-ORD-SKU0-20250720-1e6bd1,ORD-SKU0-20250720-1e6bd1,19.075374068721004,72.86372481767157,19.070611814809737,72.88324493486738,delivered,2025-07-20,2025-07-29,2025-07-29,0.0,BlueDart,8.0,6.02
SHP-ORD-SKU0-20250721-869845,ORD-SKU0-20250721-869845,19.08548939989837,72.87107887483177,19.04435832912392,72.86356177870272,delivered,2025-07-21,2025-07-23,2025-07-23,0.0,FedEx,1.0,3.04
SHP-ORD-SKU0-20250722-cc37b1,ORD-SKU0-20250722-cc37b1,19.084949243769444,72.87096509375756,19.098898951880635,72.82919774109457,delivered,2025-07-22,2025-07-26,2025-07-26,0.0,Delhivery,3.0,6.2
SHP-ORD-SKU0-20250723-2a5ac0,ORD-SKU0-20250723-2a5ac0,19.05731799600045,72.85795862551664,19.109448437782277,72.83196595593921,delivered,2025-07-23,2025-07-27,2025-07-27,0.0,BlueDart,3.0,4.99
SHP-ORD-SKU0-20250724-d3bf0f,ORD-SKU0-20250724-d3bf0f,19.060441043537963,72.86674716547904,19.09708980250104,72.7988844039377,delivered,2025-07-24,2025-07-26,2025-07-26,0.0,BlueDart,1.0,3.56
SHP-ORD-SKU0-20250725-eaa840,ORD-SKU0-20250725-eaa840,19.065076872353277,72.87453591550306,19.125731757352234,72.88162176118506,delivered,2025-07-25,2025-07-27,2025-07-27,0.0,BlueDart,1.0,4.77
SHP-ORD-SKU0-20250726-d4606d,ORD-SKU0-20250726-d4606d,19.06881318074557,72.86666633393827,18.961168651097942,72.88609526416482,delivered,2025-07-26,2025-07-28,2025-07-28,0.0,ShipRocket,1.0,3.18
SHP-ORD-SKU0-20250727-554cf7,ORD-SKU0-20250727-554cf7,19.076281811573693,72.87760881003356,19.13057658986527,72.90134372167756,delivered,2025-07-27,2025-08-01,2025-08-01,0.0,ShipRocket,4.0,6.46
SHP-ORD-SKU0-20250728-cabca2,ORD-SKU0-20250728-cabca2,19.079016951349463,72.86830664606181,19.07181257356338,72.80782190891975,delivered,2025-07-28,2025-07-30,2025-07-30,0.0,FedEx,1.0,4.02
SHP-ORD-SKU0-20250729-1a2bc8,ORD-SKU0-20250729-1a2bc8,19.077605739810497,72.87773046020153,19.099452648297817,72.93726277394084,delivered,2025-07-29,2025-08-03,2025-08-03,0.0,BlueDart,4.0,6.35
SHP-ORD-SKU0-20250730-5a80f7,ORD-SKU0-20250730-5a80f7,19.0896765733147,72.86291088431226,19.098844569303655,72.8621453918536,delivered,2025-07-30,2025-08-04,2025-08-06,48.0,FedEx,4.0,4.75
SHP-ORD-SKU0-20250731-a923a9,ORD-SKU0-20250731-a923a9,19.07511657340991,72.88691349602986,19.14564497366017,72.94763745272523,delivered,2025-07-31,2025-08-08,2025-08-08,0.0,Delhivery,7.0,7.48
SHP-ORD-SKU0-20250801-d0acfc,ORD-SKU0-20250801-d0acfc,19.077857674920867,72.88970413907946,19.045012960972297,72.83735858994535,delivered,2025-08-01,2025-08-03,2025-08-03,0.0,BlueDart,1.0,4.74
SHP-ORD-SKU0-20250802-7d63d6,ORD-SKU0-20250802-7d63d6,19.06818979570735,72.87399493698311,19.017660091372026,72.87063575795001,delivered,2025-08-02,2025-08-05,2025-08-05,0.0,Delhivery,2.0,3.78
SHP-ORD-SKU0-20250803-39c3a3,ORD-SKU0-20250803-39c3a3,19.07268543702276,72.86429446819997,19.118335448036472,72.87950077673347,delivered,2025-08-03,2025-08-05,2025-08-05,0.0,FedEx,1.0,3.82
SHP-ORD-SKU0-20250804-cbca0d,ORD-SKU0-20250804-cbca0d,19.07175800977972,72.86829851085564,19.145664351088385,72.84351367372113,delivered,2025-08-04,2025-08-08,2025-08-08,0.0,ShipRocket,3.0,3.82
SHP-ORD-SKU0-20250805-d89237,ORD-SKU0-20250805-d89237,19.071771880389147,72.8852921099992,19.10096619510791,72.96251841018311,delivered,2025-08-05,2025-08-08,2025-08-08,0.0,FedEx,2.0,5.18
SHP-ORD-SKU0-20250806-718476,ORD-SKU0-20250806-718476,19.05505879372336,72.87311863012786,19.0371729346099,72.85341956196274,delivered,2025-08-06,2025-08-08,2025-08-08,0.0,Delhivery,1.0,2.95
SHP-ORD-SKU0-20250807-f52518,ORD-SKU0-20250807-f52518,19.064583108858667,72.87576340540721,19.028741992828525,72.78243657455356,delivered,2025-08-07,2025-08-15,2025-08-15,0.0,BlueDart,7.0,6.5
SHP-ORD-SKU0-20250808-314994,ORD-SKU0-20250808-314994,19.083348935034746,72.88802963947153,19.073601674613297,72.8695881279919,delivered,2025-08-08,2025-08-15,2025-08-17,48.0,FedEx,6.0,5.5
SHP-ORD-SKU0-20250809-ac38f7,ORD-SKU0-20250809-ac38f7,19.0749984592352,72.87566326249824,19.031099329897373,72.83431924479625,delivered,2025-08-09,2025-08-11,2025-08-11,0.0,BlueDart,1.0,3.18
SHP-ORD-SKU0-20250810-a61add,ORD-SKU0-20250810-a61add,19.092898934566264,72.8892979124529,19.074053223295568,72.91642110552792,delivered,2025-08-10,2025-08-15,2025-08-15,0.0,ShipRocket,4.0,6.32
SHP-ORD-SKU0-20250811-019f5e,ORD-SKU0-20250811-019f5e,19.08151319724761,72.87334795671383,19.026745919054765,72.8624614074894,delivered,2025-08-11,2025-08-17,2025-08-18,24.0,ShipRocket,5.0,6.67
